,Unnamed: 0,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
6358,6359,sell,apartment,|Argentina|Capital Federal|Once|,"-34.600837,-58.401234",92000.0,USD,1394940.8,92000.0,,59.0,,1559.322034,7.0,3.0,,http://once.properati.com.ar/117sh_venta_departamentos_balvanera_lavadero_luminoso_re-max-ayres
6365,6366,sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.5475074,-58.4842066",145000.0,USD,2198548.0,145000.0,68.0,52.0,2132.352941,2788.461538,,2.0,,http://saavedra.properati.com.ar/102lx_venta_departamentos_saavedra_balcon_baulera_jardin_parrilla_piscina_terraza_toilette_vestidor_garage_placard_aire-acondicionado_desarrollista-com
6367,6368,sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6176481,-58.4619167",1834248.0,ARS,1829157.06,120637.7,47.0,42.0,2566.759574,43672.57143,,2.0,,http://caballito.properati.com.ar/zsiq_venta_departamentos_caballito_balcon_nucifora-propiedades_crr
6368,6369,sell,apartment,|Argentina|Capital Federal|Flores|,"-34.6262815,-58.4538101",125000.0,USD,1895300.0,125000.0,68.0,68.0,1838.235294,1838.235294,,3.0,,http://flores.properati.com.ar/xx1z_venta_departamentos_flores_lavadero_luminoso_placard_lexinton-propiedades_cbn
6370,6371,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5620844,-58.4566864",149000.0,USD,2259197.6,149000.0,58.0,58.0,2568.965517,2568.965517,,3.0,,http://belgrano.properati.com.ar/12tt2_venta_departamentos_belgrano_lavadero_terraza_luminoso_subte-linea-d_zuker-propiedades_dke
6392,6393,sell,apartment,|Argentina|Capital Federal|Paternal|,"-34.600186,-58.468359",173000.0,USD,2623095.2,173000.0,,83.0,,2084.337349,,4.0,,http://paternal.properati.com.ar/10c8e_venta_departamentos_villa-ortuzar_hidromasaje_lavadero_luminoso_lujoso_garage_placard_re-max-norte
6401,6402,sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.609251,-58.431375",156000.0,USD,2365334.4,156000.0,86.0,70.0,1813.953488,2228.571429,,3.0,,http://caballito.properati.com.ar/113y5_venta_departamentos_caballito_lujoso_garage_pronin-propiedades
6412,6413,sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.5671066,-58.4723916",110207.0,USD,1671002.61,110207.0,38.0,34.0,2900.184211,3241.382353,,1.0,1300.0,http://villa-urquiza.properati.com.ar/12iux_venta_departamentos_villa-urquiza_baulera_gimnasio_lavadero_parrilla_piscina_sum_sauna_lujoso_garage_aire-acondicionado_estrenar_le-bleu
6413,6414,sell,apartment,|Argentina|Capital Federal|Nu�ez|,"-34.5515084,-58.4647326",143000.0,USD,2168223.2,143000.0,63.0,53.0,2269.84127,2698.113208,,,,http://nunez.properati.com.ar/11zar_venta_departamentos_nunez_zarlenga-inmobiliaria_bcl
6423,6424,sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5900264,-58.3939516",125000.0,USD,1895300.0,125000.0,47.0,47.0,2659.574468,2659.574468,,,,http://recoleta.properati.com.ar/12mim_venta_departamentos_recoleta_luminoso_subte-linea-h_inmobiliaria-calot
